IP;ASN;{CVEs};[Ports];Time;AS_Desc
128.130.113.111;679;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 587, 443];2021-03-04 16:06:14;Technische Universitat Wien
178.115.254.194;25255;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[993, 995, 587, 80, 25, 443];2021-03-04 15:48:48;Hutchison Drei Austria GmbH
185.142.212.127;207143;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443, 135, 587, 3389, 80, 81, 123, 53, 88, 25, 1723, 636, 445];2021-03-04 16:04:40;hosttech GmbH
185.148.158.194;39372;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[10443, 443, 3389, 22];2021-03-04 15:52:34;Josef Edtbauer e.u.
185.51.128.57;60517;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 443, 10443];2021-03-04 15:59:39;Adolf Noehmer Gesellschaft m.b.H. & Co KG
185.58.54.204;31543;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443];2021-03-04 16:06:16;myNet GmbH
194.107.167.69;8339;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443];2021-03-04 15:52:42;kabelplus
195.192.16.153;8445;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 8800, 443];2021-03-04 16:04:01;Salzburg AG
195.230.183.94;8559;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[465, 443, 25];2021-03-04 15:56:14;kabelplus
212.186.118.250;6830;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[264, 80];2021-03-04 16:11:13;Magenta Telekom Business
212.67.234.100;8412;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[993, 9443, 9000, 587, 143, 80, 465, 25, 443];2021-03-04 16:10:27;Magenta Telekom
212.89.182.162;49864;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 9443, 443, 8443];2021-03-04 15:53:02;ECS Rockenschaub GmbH
213.173.89.99;13292;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443, 8443];2021-03-04 16:14:13;BK-DAT Electronics e.U.
213.47.243.42;6830;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 443];2021-03-04 15:56:34;Magenta Telekom Business
