IP;ASN;{CVEs};[Ports];Time;AS_Desc
101.0.110.34;55803;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 587, 110, 143, 80, 53, 22, 8888, 8889, 443, 21];2020-06-30 06:57:51;Digital Pacific Australia
101.0.75.39;55803;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 587, 110, 143, 80, 465, 995, 53, 22, 8889, 443, 21];2020-06-30 21:42:30;Digital Pacific Australia
103.241.6.10;133382;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 8008, 110, 143, 80, 465, 53, 25, 443, 21];2020-06-30 05:39:17;The Business Doctor Nsw Pty
103.250.23.49;55803;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 3306, 587, 110, 143, 80, 465, 995, 21, 22, 443, 53];2020-06-30 13:52:40;Digital Pacific Australia
110.34.54.146;9290;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 587, 110, 143, 80, 465, 2083, 21, 443];2020-06-30 10:11:30;GoHosting
122.201.118.150;38719;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 110, 143, 80, 465, 2083, 53, 22, 26, 443];2020-06-30 02:35:56;Dreamscape Networks Limited
122.201.118.183;38719;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 110, 143, 80, 465, 53, 22, 26, 443];2020-06-30 21:16:01;Dreamscape Networks Limited
144.138.191.132;135887;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[80, 33060, 9001, 3306, 5357, 8080, 445];2020-06-30 13:00:12;Telstra Internet
203.98.91.93;55803;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 587, 110, 143, 80, 465, 995, 53, 26, 443, 21];2020-06-30 13:29:02;Digital Pacific Australia
58.162.130.32;1221;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 3389];2020-06-30 11:43:29;Telstra Internet
