IP;ASN;{CVEs};[Ports];Time;AS_Desc
179.182.48.40;18881;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-04-15 17:15:51;Vivo
187.95.28.98;53081;{'CVE-2020-0796': 'MS SMBv3 RCE'};[445];2020-04-15 13:07:11;Netjacarei Telecon Ltda
189.124.116.162;28292;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3389];2020-04-15 20:41:03;Engeplus Informatica Ltda
189.127.14.174;27693;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-04-15 14:11:50;NipCable do Brasil Telecom LTDA
189.127.15.14;27693;{'CVE-2020-0796': 'MS SMBv3 RCE'};[80, 8081, 8080, 445];2020-04-15 13:09:17;NipCable do Brasil Telecom LTDA
189.6.226.64;28573;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-04-15 07:20:48;Claro NET
189.89.241.90;28188;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 3389];2020-04-15 10:28:19;Pronto Net Ltda.
201.182.223.43;267541;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 8080, 3333, 3389, 1433];2020-04-15 11:02:13;Brasilnet Internet Banda Larga Ltda-me
201.69.7.167;27699;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8888, 993, 8443, 7071, 3306, 587, 110, 143, 80, 3000, 53, 3128, 443, 3389, 21];2020-04-15 12:00:34;Vivo
45.65.159.33;266257;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8090, 3389];2020-04-15 20:23:16;Leste Telecom
