IP;ASN;{CVEs};[Ports];Time;AS_Desc
185.156.39.109;202605;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443, 500];2021-03-04 16:00:36;EMPECOM, s.r.o.
212.111.31.51;25424;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443, 10443];2021-03-04 15:47:57;InterneXt 2000, s.r.o.
213.191.127.11;29208;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[1723, 8080, 7443, 25, 443, 444];2021-03-04 15:59:11;Dial Telecom, a.s.
37.221.244.19;198668;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[2000, 8291, 1723, 80, 465, 25, 443];2021-03-04 15:48:32;Tlapnet s.r.o.
46.33.120.38;29208;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443, 1723];2021-03-04 16:07:10;Dial Telecom, a.s.
62.141.9.6;5588;{'CVE-2012-2532': 'CVE-2012-2532', 'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443];2021-03-04 16:00:43;T-Mobile Czech Republic
82.113.53.74;29208;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443, 1723, 465];2021-03-04 15:59:55;Dial Telecom, a.s.
82.142.93.52;16019;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443, 80, 500, 8443, 25, 4443];2021-03-04 15:51:36;Vodafone Czech Republic
84.242.100.166;6830;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 443, 2222];2021-03-04 16:08:51;Vodafone Czech Republic
88.208.109.170;29208;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[995, 587, 110, 25, 1723, 443];2021-03-04 16:07:16;Dial Telecom, a.s.
89.187.150.156;35592;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[993, 8291, 2000, 587, 143, 80, 995, 21, 23, 25, 443, 53];2021-03-04 16:02:40;Coolhousing s.r.o.
92.61.86.50;34093;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443, 444];2021-03-04 16:10:39;Nordic Telecom Regional s.r.o.
95.80.212.165;29208;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443];2021-03-04 15:47:38;Dial Telecom, a.s.
