IP;ASN;{CVEs};[Ports];Time;AS_Desc
178.79.164.151;63949;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[2096, 2082, 2083, 2086, 2087, 587, 80, 465, 21, 443, 444, 4949];2020-06-23 12:33:38;Linode
185.17.180.246;21396;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3389, 21];2020-06-23 20:00:01;Nimbus Hosting Ltd.
188.227.181.29;20860;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 995, 587, 110, 143, 80, 465, 2083, 53, 26, 443, 21];2020-06-23 19:37:47;Iomart Cloud Services Limited
78.129.155.122;20860;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 2083, 2086, 2087, 3306, 587, 110, 143, 80, 465, 995, 21, 22, 443, 53];2020-06-23 20:29:27;Iomart Cloud Services Limited
78.31.108.251;50957;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 995, 2086, 2087, 110, 143, 80, 465, 2083, 22, 26, 443];2020-06-23 21:57:16;MEMSET Ltd
81.133.173.177;2856;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-23 07:12:22;BT
85.13.223.8;31708;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 2083, 2086, 2087, 3306, 587, 110, 143, 465, 995, 53, 25, 26, 443];2020-06-23 22:53:56;Coreix Ltd
85.92.91.108;34282;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 995, 2086, 2087, 3306, 587, 110, 143, 465, 123, 21, 22, 26, 443, 53];2020-06-23 09:36:40;UKDedicated LTD
85.92.91.109;34282;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 995, 2086, 2087, 2083, 3306, 587, 110, 2095, 80, 465, 123, 21, 22, 26, 143, 443, 53];2020-06-23 06:56:44;UKDedicated LTD
85.92.91.40;34282;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2083, 2087, 80, 3306, 587, 110, 2096, 465, 123, 53, 22, 26, 443, 21];2020-06-23 06:12:03;UKDedicated LTD
85.92.91.89;34282;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 995, 2086, 2087, 3306, 587, 110, 143, 80, 465, 2083, 53, 22, 26, 123, 443, 21];2020-06-23 21:10:59;UKDedicated LTD
87.117.230.240;20860;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 2082, 2083, 2086, 2087, 3306, 587, 80, 465, 995, 53, 443, 21];2020-06-23 22:42:39;Iomart Cloud Services Limited
88.215.7.34;31655;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 554, 8080, 3000, 1723, 3389];2020-06-23 02:32:55;Gamma Telecom DSL Services
