IP;ASN;{CVEs};[Ports];Time;AS_Desc
103.199.163.200;58969;{'CVE-2020-0796': 'MS SMBv3 RCE'};[8081, 445, 3310];2020-04-15 10:33:27;Kerala Communicators Cable Limited
103.39.244.167;133720;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3389];2020-04-15 07:13:09;Soft Call Cust-o-care Private Limited
111.93.128.91;45820;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[5985, 123, 3389, 2222];2020-04-15 05:49:18;Tata Teleservices Limited
122.160.175.25;24560;{'CVE-2020-0796': 'MS SMBv3 RCE'};[9000, 445];2020-04-15 21:57:23;Airtel Broadband
125.21.163.76;9498;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[80, 443];2020-04-15 08:42:48;Airtel
180.151.204.218;10029;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 5985, 8083, 3389, 2222];2020-04-15 11:07:15;Shyam Spectra Pvt
182.71.220.156;9498;{'CVE-2019-19781': 'Citrix RCE (Shitrix)'};[443];2020-04-15 22:52:40;Airtel
183.83.158.162;131269;{'CVE-2020-0796': 'MS SMBv3 RCE'};[1434, 445, 3389];2020-04-15 10:34:48;ACT Fibernet
45.249.40.103;unknown;{'MS17-010': 'MS17-010'};[5985, 9000, 137, 3389, 80, 443, 445];2020-04-15 20:18:22;Soft Call Cust-o-care Private Limited
69.90.184.206;13768;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[19, 80, 137, 3306, 9002, 13, 8080, 17, 8083, 21, 9001, 443, 3389];2020-04-15 09:25:00;Cogeco Peer 1
