IP;ASN;{CVEs};[Ports];Time;AS_Desc
109.109.119.218;30925;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[5001, 443, 500, 9443, 1025];2021-03-04 16:13:07;DELTA Fiber Nederland B.V.
13.73.230.231;8075;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443];2021-03-04 16:02:37;Microsoft Azure
132.229.216.100;1103;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[993, 8008, 587, 80, 465, 25, 443];2021-03-04 16:12:25;SURFnet bv
141.101.220.226;201429;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[993, 995, 587, 110, 80, 21, 2455, 1883, 443];2021-03-04 16:09:39;Transavtoliz LLC
152.89.4.35;209377;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 443];2021-03-04 16:01:15;4Consult B.V.
178.238.105.203;39647;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[465, 443, 4118];2021-03-04 16:09:23;Enreach Netherlands B.V.
185.210.129.193;34373;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 443, 444, 81];2021-03-04 16:13:35;XXLnet B.V.
185.232.255.36;201597;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 443];2021-03-04 16:01:13;NE-iT Hosting BV
185.35.99.138;50673;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443];2021-03-04 16:14:25;Serverius Holding B.V.
185.39.45.84;200023;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[9443, 1723, 587, 80, 500, 22, 8443, 25, 443];2021-03-04 16:06:12;Qonnected B.V.
185.85.81.250;202120;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 993, 8080, 443, 25];2021-03-04 16:14:20;Comsave B.V.
185.97.228.46;34373;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 25, 4443, 443];2021-03-04 15:54:19;XXLnet B.V.
193.23.113.34;39591;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443];2021-03-04 15:55:31;Global-e BV
212.121.119.82;28685;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443, 21];2021-03-04 16:11:00;Routit BV
212.57.60.129;41960;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[5090, 5060, 5001, 80, 8090, 443, 3389];2021-03-04 16:02:05;Nextpertise B.V.
213.125.147.148;33915;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[500, 443, 444, 8069, 25];2021-03-04 16:10:53;Ziggo Business
213.132.180.10;33915;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443, 500];2021-03-04 15:49:17;Ziggo Business
213.134.246.6;12414;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[993, 1723, 587, 110, 465, 995, 25, 443];2021-03-04 16:09:31;Solcon Internet
213.233.246.22;12414;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[25, 587, 443, 4445, 465];2021-03-04 16:04:28;Solcon Internet
217.63.67.21;15542;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[5060, 5001, 23, 443, 444, 3391];2021-03-04 16:00:42;DELTA Fiber Nederland B.V.
217.63.72.201;15542;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[8000, 25, 443, 8001];2021-03-04 15:55:57;DELTA Fiber Nederland B.V.
31.161.37.171;1136;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[587, 443, 500];2021-03-04 16:07:36;KPN
37.0.82.56;28685;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[80, 25, 554, 443, 444];2021-03-04 18:11:41;Routit BV
37.114.94.75;57795;{'CVE-2021-26857': 'CVE-2021-26857', 'CVE-2021-26855': 'CVE-2021-26855', 'CVE-2021-27065': 'CVE-2021-27065', 'CVE-2021-26858': 'CVE-2021-26858'};[443];2021-03-04 16:08:00;Next Gen Networks B.V.
