IP;ASN;{CVEs};[Ports];Time;AS_Desc
178.248.84.233;47433;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[443, 3389];2020-05-07 16:17:47;Sibirskie Seti Ltd.
212.75.152.49;20485;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 80, 554, 3389, 49152];2020-05-07 21:36:33;Joint Stock Company TransTeleCom
91.229.59.137;56935;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[1723, 110, 143, 80, 25, 443, 3389];2020-05-07 12:44:50;Clinic of Aesthetic Medicine CJSC
95.154.139.89;43714;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445];2020-05-07 10:42:58;Production co-operative Economic-legal laboratory
95.154.143.107;43714;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[6881, 445];2020-05-07 01:11:20;Production co-operative Economic-legal laboratory
95.154.150.222;43714;{'MS17-010': 'MS17-010'};[445];2020-05-07 13:20:57;Production co-operative Economic-legal laboratory
95.154.155.19;43714;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445];2020-05-07 23:02:31;Production co-operative Economic-legal laboratory
95.154.162.248;43714;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445];2020-05-07 14:04:47;Production co-operative Economic-legal laboratory
95.154.181.133;43714;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[445];2020-05-07 21:40:29;Production co-operative Economic-legal laboratory
95.154.191.244;43714;{'MS17-010': 'MS17-010'};[445];2020-05-07 12:10:50;Production co-operative Economic-legal laboratory
