IP;ASN;{CVEs};[Ports];Time;AS_Desc
155.4.26.160;8473;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[80, 443];2021-01-05 20:03:57;Bahnhof AB
185.201.206.166;28854;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 500];2021-01-05 15:35:25;SavMAN AB
185.241.174.206;205199;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[7547];2021-01-05 14:59:32;Bitcom AB
2.248.43.152;3301;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[80, 443, 1723];2021-01-05 20:11:25;Telia
212.85.87.39;8473;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 5900, 32400, 500, 53, 1723];2021-01-05 15:11:04;Bahnhof AB
217.78.25.79;1257;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[1723, 9100, 9102, 9103, 8080, 8081, 443];2021-01-05 23:46:52;Tele2
81.229.32.228;3301;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[81, 443, 1723, 1911];2021-01-05 15:12:13;Telia
83.223.31.154;42318;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 500, 1723];2021-01-05 15:23:00;FastBit AB
83.252.197.188;39651;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[80, 8080, 443, 1723, 22];2021-01-05 18:08:34;Com Hem
85.227.82.154;2119;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[1723, 443];2021-01-05 22:25:43;Telenor Sverige AB
85.230.152.104;2119;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 82, 83, 500, 84, 1723];2021-01-05 15:16:47;Telenor Sverige AB
85.8.58.48;45011;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[1723, 500, 443];2021-01-05 23:50:28;A3
90.230.109.176;3301;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443, 500, 1723];2021-01-05 22:48:38;Telia
92.34.106.239;2119;{'CVE-2019-1653': 'Cisco WAN VPN Router unauth access', 'CVE-2019-1652': 'CVE-2019-1652'};[443];2021-01-05 22:58:26;Telenor Sverige AB
