IP;ASN;{CVEs};[Ports];Time;AS_Desc
1.0.209.34;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[161, 3389];2020-06-11 01:56:59;TOT
114.109.172.106;17552;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-11 05:31:45;True Internet
118.174.5.123;131293;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[3306, 445, 5357];2020-06-11 07:09:23;TOT
118.175.29.26;131293;{'CVE-2020-0796': 'MS SMBv3 RCE (SMBGhost)'};[99, 137, 9002, 9997, 80, 5555, 53, 22, 23, 3389, 21];2020-06-11 12:09:19;TOT
119.110.206.232;24218;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 443, 3389, 21];2020-06-11 08:36:53;Symphony Communication
119.110.206.234;24218;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 3389, 21];2020-06-11 05:04:00;Symphony Communication
119.42.70.32;131090;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[81, 554, 80, 8081, 84, 53, 443, 3389];2020-06-11 17:42:13;CAT Telecom public company Ltd
182.52.177.112;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[554, 443, 3389];2020-06-11 21:08:39;TOT
49.231.6.24;45458;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-11 16:06:22;AIS Mobile
49.49.197.128;45629;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[82, 3389];2020-06-11 18:44:59;3BB Broadband
61.91.54.198;7470;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8080, 80, 5900, 3389];2020-06-11 11:43:19;True Internet
