IP;ASN;{CVEs};[Ports];Time;AS_Desc
1.179.208.170;131293;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 81, 554, 3389, 37777];2020-06-25 16:28:47;TOT
1.4.198.133;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[7547, 81, 83, 88, 90, 443, 3389];2020-06-25 22:49:20;TOT
103.40.116.151;133751;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[993, 995, 80, 3306, 110, 143, 8080, 465, 123, 53, 22, 8443, 25, 443, 8083];2020-06-25 17:22:08;Pacific Net Venture Co.
119.110.206.234;24218;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 3306, 3389, 21];2020-06-25 09:58:08;Symphony Communication
125.26.70.40;23969;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[8800, 5800, 7547, 3389, 37777];2020-06-25 20:29:46;TOT
171.97.9.100;17552;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[2000, 9000, 3388, 3389, 88];2020-06-25 02:18:47;True Internet
203.151.157.1;4618;{'CVE-2019-13917': 'CVE-2019-13917', 'CVE-2019-10149': 'CVE-2019-10149'};[80, 995, 389, 8009, 3306, 587, 110, 2222, 111, 8080, 11211, 4949, 22, 25, 443, 21, 53];2020-06-25 09:43:30;Internet Thailand Company Limited
203.151.20.123;4618;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[139, 80, 21, 1434, 3389, 1311];2020-06-25 18:46:10;Internet Thailand Company Limited
203.154.217.100;4618;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 83, 84, 3389];2020-06-25 03:29:08;Internet Thailand Company Limited
27.254.40.105;9891;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 81, 3306, 587, 110, 143, 80, 465, 53, 25, 443, 21];2020-06-25 23:45:50;CS LoxInfo
