IP;ASN;{CVEs};[Ports];Time;AS_Desc
178.18.196.12;50941;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[80, 443, 3306, 587, 110, 143, 8880, 53, 25, 8090, 8443, 3389, 21];2020-06-30 06:43:02;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
178.18.199.74;50941;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 587, 143, 80, 465, 2083, 53, 443, 21];2020-06-30 23:27:32;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
178.18.205.202;50941;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3306, 110, 143, 80, 53, 25, 1433, 1434, 443, 3389, 21];2020-06-30 05:53:12;Vargonen Network
178.18.206.169;50941;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 587, 110, 143, 465, 53, 995, 21, 22, 443, 2077, 2079];2020-06-30 15:16:05;Vargonen Teknoloji ve Bilisim Sanayi Ticaret Anoni
193.164.5.5;61135;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[139, 3389, 445];2020-06-30 16:05:31;Comnet Bilgi Iletisim Teknolojileri Ticaret A.s.
195.142.2.244;199484;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 2086, 2087, 587, 110, 143, 80, 465, 2083, 53, 443, 21];2020-06-30 02:11:48;SAGLAYICI Teknoloji Bilisim Yayincilik Hiz. Ticare
213.128.67.74;42926;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 587, 143, 110, 2095, 80, 465, 995, 53, 443, 21, 2096];2020-06-30 08:14:31;Radore Veri Merkezi Hizmetleri A.S.
213.128.67.77;42926;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 995, 2086, 2087, 587, 110, 143, 80, 465, 2083, 53, 443, 21];2020-06-30 19:53:38;Radore Veri Merkezi Hizmetleri A.S.
31.186.25.61;199484;{'CVE-2016-9963': 'CVE-2016-9963', 'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 995, 3306, 587, 110, 143, 80, 465, 21, 22, 111, 25, 443, 53];2020-06-30 23:41:08;SAGLAYICI Teknoloji Bilisim Yayincilik Hiz. Ticare
31.207.82.133;42807;{'CVE-2019-10149': 'CVE-2019-10149', 'CVE-2019-13917': 'CVE-2019-13917'};[993, 2082, 2083, 2086, 2087, 2079, 3306, 587, 110, 111, 80, 465, 995, 53, 143, 443, 21];2020-06-30 16:59:51;Aerotek Bilisim Sanayi ve Ticaret
37.75.13.138;199484;{'CVE-2019-0708': 'Windows RDP RCE (BlueKeep)'};[3389];2020-06-30 08:50:26;SAGLAYICI Teknoloji Bilisim Yayincilik Hiz. Ticare
